Trotter_Depth_Rich,Trotter_Depth_Poly,Richardson_Extrapolated_Error,Polynomial_Extrapolated_Error,Direct_Measurement_Error,hlist,Observable Strings,List_of_Parameters,Parameter_Values
13,13,0.002810049,0.002808279,0.002805165,2.491248296,{0: 'X'},Simulation Time,1
37.02086785,31.38477631,5.64084E-06,1.64398E-05,0.000334513,-2.273293447,{1: 'Y'},Trotter Order,2
60.63073198,48.5166605,1.71009E-06,4.17405E-06,0.000124348,0.621241103,{4: 'I'},Number Qubits,5
84.13949506,65.3554134,9.83523E-06,4.93973E-06,6.45149E-05,-2.226603674,,Initial State String,0j0j0j0j(1+0j)0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j0j
107.6079778,82.07876969,2.43376E-06,3.70666E-06,3.94291E-05,-0.994124108,,,
131.0563531,98.74480347,4.03432E-06,3.94935E-06,2.65773E-05,,,,
154.4932481,115.3781912,7.1006E-06,6.53353E-06,1.91233E-05,,,,
